Numero,Local,TotalCasos,NovosCasos,TotalMortes,NovasMortes,TotalRecuperados,Casos Ativos,CasosSerios,TotalCasos/1M,TotalMortes/1M,TotalTestes,Testes/1M,Populacao,Continente,Casos/10,Mortes/10,Teste/10,Novos/1M,Mortes/1M,Ativos/1M
171,Djibouti,"14,541",,189,,"13,755",597,,"14,398",187,"264,571","261,961","1,009,965",Africa,69,"5,344",4,,,591
172,Isle of Man,"14,105",,68,,"13,713",324,1,"164,545",793,"133,676","1,559,431","85,721",Europe,6,"1,261",1,,,"3,780"
173,New Caledonia,"13,364",+43,281,,"12,551",532,4,"46,131",970,"98,964","341,613","289,696",Australia/Oceania,22,"1,031",3,148,,"1,836"
174,Hong Kong,"13,016",+14,213,,"12,327",476,,"1,715",28,"30,074,074","3,962,323","7,590,011",Asia,583,"35,634",0,2,,63
175,CAR,"12,650",,106,,"6,859","5,685",2,"2,551",21,"74,519","15,030","4,958,113",Africa,392,"46,775",67,,,"1,147"
176,Cayman Islands,"11,666",,14,,"8,093","3,559",6,"174,374",209,"215,963","3,228,050","66,902",North America,6,"4,779",0,,,"53,197"
177,Gambia,"11,122",,344,,"9,844",934,4,"4,413",136,"135,608","53,806","2,520,334",Africa,227,"7,327",19,,,371
178,Gibraltar,"10,248",,100,,"8,696","1,452",6,"304,312","2,969","464,886","13,804,668","33,676",Europe,3,337,0,,,"43,117"
179,Yemen,"10,133",,"1,987",,"7,045","1,101",23,329,64,"265,253","8,604","30,829,543",Asia,"3,042","15,516",116,,,36
180,San Marino,"9,518",,103,,"7,920","1,495",5,"279,612","3,026","111,184","3,266,275","34,040",Europe,4,330,0,,,"43,919"
181,Grenada,"8,966",+365,201,,"5,957","2,808",,"79,120","1,774","107,870","951,898","113,321",North America,13,564,1,"3,221",,"24,779"
182,Eritrea,"8,653",,84,,"8,116",453,,"2,389",23,"23,693","6,542","3,621,464",Africa,419,"43,113",153,,,125
183,Faeroe Islands,"8,579",,15,,"6,840","1,724",5,"174,558",305,"680,000","13,836,043","49,147",Europe,6,"3,276",0,,,"35,078"
184,Niger,"8,260",,286,,"7,204",770,2,323,11,"209,892","8,217","25,543,607",Africa,"3,092","89,313",122,,,30
185,Sint Maarten,"7,899",+515,75,,"5,504","2,320",9,"181,087","1,719","62,056","1,422,650","43,620",North America,6,582,1,"11,807",,"53,187"
186,Bermuda,"7,880",,110,,"6,166","1,604",,"127,249","1,776","719,912","11,625,359","61,926",North America,8,563,0,,,"25,902"
187,Comoros,"7,715",+36,159,+1,"6,594",962,,"8,592",177,,,"897,903",Africa,116,"5,647",,40,1,"1,071"
188,Dominica,"7,667",,47,,"7,116",504,,"106,103",650,"134,888","1,866,704","72,260",North America,9,"1,537",1,,,"6,975"
189,Sierra Leone,"7,493",,125,,N/A,N/A,,911,15,"259,958","31,606","8,224,854",Africa,"1,098","65,799",32,,,328
190,Liberia,"7,054",,287,,"5,747","1,020",2,"1,346",55,"139,824","26,688","5,239,268",Africa,743,"18,255",37,,,195
191,Liechtenstein,"6,915",+57,72,+1,"6,411",432,5,"180,572","1,880","80,413","2,099,830","38,295",Europe,6,532,0,"1,488",26,"11,281"
192,Guinea-Bissau,"6,808",,150,,"6,320",338,,"3,339",74,"113,422","55,625","2,039,052",Africa,300,"13,594",18,,,166
193,St. Vincent Grenadines,"6,562",,85,,"5,563",914,7,"58,863",762,"94,386","846,671","111,479",North America,17,"1,312",1,,,"8,199"
194,Chad,"6,556",,185,,"4,874","1,497",,382,11,"191,341","11,160","17,145,511",Africa,"2,615","92,678",90,,,87
195,Greenland,"6,453",,2,,"2,761","3,690",2,"113,368",35,"156,694","2,752,833","56,921",North America,9,"28,461",0,,,"64,827"
196,Monaco,"6,266",,44,,"5,809",413,4,"157,961","1,109","54,960","1,385,500","39,668",Europe,6,902,1,,,"10,411"
197,Sao Tome and Principe,"5,235",,65,,"3,855","1,315",,"23,228",288,"29,036","128,832","225,379",Africa,43,"3,467",8,,,"5,835"
198,Antigua and Barbuda,"5,214",,120,,"4,146",948,1,"52,577","1,210","18,559","187,145","99,169",North America,19,826,5,,,"9,559"
199,Saint Martin,"5,148",,59,,"1,399","3,690",7,"129,758","1,487","78,366","1,975,248","39,674",North America,8,672,1,,,"93,008"
200,British Virgin Islands,"4,947",,40,,N/A,N/A,8,"161,990","1,310","95,442","3,125,250","30,539",North America,6,763,0,,,"45,417"
201,Caribbean Netherlands,"4,908",,25,,"3,977",906,,"184,539",940,"30,126","1,132,727","26,596",North America,5,"1,064",1,,,"34,065"
202,Turks and Caicos,"4,636",+154,28,+1,"3,840",768,3,"117,314",709,"94,789","2,398,628","39,518",North America,9,"1,411",0,"3,897",25,"19,434"
203,Saint Kitts and Nevis,"4,484",,28,,"3,252","1,204",1,"83,384",521,"60,991","1,134,189","53,775",North America,12,"1,921",1,,,"22,390"
204,Bhutan,"2,873",+36,3,,"2,654",216,,"3,662",4,"1,336,512","1,703,429","784,601",Asia,273,"261,534",1,46,,275
205,St. Barth,"2,363",,6,,N/A,N/A,,"238,134",605,"56,491","5,692,936","9,923",North America,4,"1,654",0,,,"190,970"
206,Anguilla,"1,942",,6,,"1,789",147,,"127,696",395,"51,382","3,378,617","15,208",North America,8,"2,535",0,,,"9,666"
208,Wallis and Futuna,454,,7,,438,9,,"41,507",640,"20,508","1,874,931","10,938",Australia/Oceania,24,"1,563",1,,,823
209,Saint Pierre Miquelon,354,+38,,,200,154,,"61,555",,"15,633","2,718,310","5,751",North America,16,,0,"6,608",,"26,778"
210,Montserrat,118,,1,,51,66,,"23,614",200,"3,785","757,454","4,997",North America,42,"4,997",1,,,"13,208"
211,Falkland Islands,85,,,,N/A,N/A,,"23,384",,"8,528","2,346,080","3,635",South America,43,,0,,,550
212,Macao,79,,,,77,2,,119,,"5,075","7,656","662,868",Asia,"8,391",,131,,,3
213,Palau,40,+1,,,14,26,,"2,195",,"19,159","1,051,191","18,226",Australia/Oceania,456,,1,55,,"1,427"
215,Solomon Islands,25,,,,20,5,,35,,"4,500","6,315","712,612",Australia/Oceania,"28,504",,158,,,7
216,Western Sahara,10,,1,,8,1,,16,2,,,"619,771",Africa,"61,977","619,771",,,,2
219,Marshall Islands,7,,,,4,3,,117,,,,"59,801",Australia/Oceania,"8,543",,,,,50
224,China,"104,379",+190,"4,636",,"96,283","3,460",10,73,3,"160,000,000","111,163","1,439,323,776",Asia,"13,789","310,467",9,0.1,,2
