Numero,Local,TotalCasos,NovosCasos,TotalMortes,NovasMortes,TotalRecuperados,Casos Ativos,CasosSerios,TotalCasos/1M,TotalMortes/1M,TotalTestes,Testes/1M,Populacao,Continente,Casos/10,Mortes/10,Teste/10,Novos/1M,Mortes/1M,Ativos/1M
37,Sweden,"1,534,797",,"15,440",,"1,227,247","292,110",101,"150,535","1,514","15,595,387","1,529,620","10,195,595",Europe,7,660,1,,,"28,651"
38,Serbia,"1,399,867","+13,753","13,003",+19,"1,277,485","109,379",96,"161,210","1,497","7,548,292","869,267","8,683,514",Europe,6,668,1,"1,584",2,"12,596"
39,Australia,"1,398,776","+150,702","2,522",+57,"427,258","968,996",349,"53,898",97,"58,064,628","2,237,359","25,952,311",Australia/Oceania,19,"10,290",0,"5,807",2,"37,338"
40,Austria,"1,394,599","+15,852","13,898",+16,"1,273,884","106,817",236,"153,506","1,530","129,772,258","14,284,219","9,085,009",Europe,7,654,0,"1,745",2,"11,758"
41,Hungary,"1,318,093","+9,216","40,164",+81,"1,155,505","122,424",249,"136,976","4,174","9,417,820","978,697","9,622,815",Europe,7,240,1,958,8,"12,722"
42,Pakistan,"1,312,267","+3,019","28,992",+5,"1,260,045","23,230",651,"5,770",127,"23,984,502","105,451","227,446,718",Asia,173,"7,845",9,13,0.02,102
43,Jordan,"1,088,329",,"12,932",,"1,046,583","28,814",634,"105,071","1,248","13,965,801","1,348,305","10,358,042",Asia,10,801,1,,,"2,782"
44,Ireland,"1,042,212",,"6,035",,"622,271","413,906",92,"207,524","1,202","10,485,477","2,087,854","5,022,132",Europe,5,832,0,,,"82,416"
45,Denmark,"1,023,938","+23,929","3,453",+20,"766,333","254,152",64,"175,831",593,"112,050,068","19,241,322","5,823,408",Europe,6,"1,686",0,"4,109",3,"43,643"
46,Morocco,"1,017,560",,"14,935",,"956,544","46,081",293,"27,077",397,"11,151,432","296,742","37,579,546",Africa,37,"2,516",3,,,"1,226"
47,Kazakhstan,"1,013,586","+9,122","13,062",+3,"966,588","33,936",528,"53,011",683,"11,575,012","605,383","19,120,140",Asia,19,"1,464",2,477,0.2,"1,775"
